,abstract,pub_date,document_type,news_desk,section_name,type_of_material,keywords
0,"Underlying the debate in America over abortion is a big, difficult question.",2023-01-01T00:05:59+0000,article,National,U.S.,News,"['ABORTION', 'INTERNAL-OPEN-ACCESS']"
1,"The question is at the heart of the human experience — and the nation’s abortion debate. An exploration through science, theology and philosophy.",2023-01-01T00:15:57+0000,multimedia,U.S.,U.S.,Interactive Feature,"['PREGNANCY AND CHILDBIRTH', 'EMBRYOS (HUMAN)', 'BIOLOGY AND BIOCHEMISTRY', 'ANATOMY AND PHYSIOLOGY', 'RELIGION AND BELIEF', 'ABORTION', 'UNITED STATES', 'PHILOSOPHY', 'INTERNAL-SUB-ONLY']"
2,"Texas Christian returned two interceptions for touchdowns, just part of a zany back-and-forth upset of Michigan, 51-45, which put the Horned Frogs in the national championship game.",2023-01-01T01:27:54+0000,article,Sports,Sports,News,"['FOOTBALL (COLLEGE)', 'BIG 12 CONFERENCE', 'BIG TEN CONFERENCE', 'UNIVERSITY OF MICHIGAN', 'TEXAS CHRISTIAN UNIVERSITY', 'DYKES, DANIEL (SONNY) (1969- )', 'DUGGAN, MAX (2001- )', 'HARBAUGH, JIM']"
3,"Hours before Russian troops began withdrawing from the suburban town, a Russian soldier left a trail of blood and devastated lives in a last paroxysm of violence.",2023-01-01T04:00:10+0000,article,Foreign,World,News,"['BUCHA (UKRAINE)', 'WAR CRIMES, GENOCIDE AND CRIMES AGAINST HUMANITY', 'CIVILIAN CASUALTIES', 'RUSSIAN INVASION OF UKRAINE (2022)', 'DEFENSE AND MILITARY FORCES', 'PUTIN, VLADIMIR V', 'KYIV (UKRAINE)', 'RUSSIA']"
4,"Georgia scored in the final minute of the game, and Ohio State missed a field goal in the first minute of 2023.",2023-01-01T05:06:06+0000,article,Sports,Sports,News,"['FOOTBALL (COLLEGE)', 'COLLEGE FOOTBALL PLAYOFF NATIONAL CHAMPIONSHIP', 'PLAYOFF GAMES', 'PEACH BOWL (FOOTBALL GAME)', 'UNIVERSITY OF GEORGIA', 'OHIO STATE UNIVERSITY', 'BENNETT, STETSON (1997- )', 'STROUD, C J (2001- )', 'SMART, KIRBY', 'DAY, RYAN (1979- )']"
5,Pope Benedict’s legacy will be felt across decades or even centuries. ,2023-01-01T06:00:05+0000,article,OpEd,Opinion,Op-Ed,"['CHRISTIANS AND CHRISTIANITY', 'ROMAN CATHOLIC CHURCH', 'BENEDICT XVI', 'FRANCIS']"
6,"Quotation of the Day for Monday, January 1, 2023.",2023-01-01T06:29:21+0000,article,Summary,Corrections,News,[]
7,"No corrections  appeared in print on Sunday, Jan. 1, 2023",2023-01-01T06:32:36+0000,article,Corrections,Corrections,Correction,[]
8,Feeling stuck on today’s puzzle? We can help.,2023-01-01T08:00:04+0000,article,Games,Crosswords & Games,News,['SPELLING BEE (GAME)']
9,"More than offering prescriptions, suggestions — good or bad — about how we should live broaden our worldview and put us in touch with our desires.",2023-01-01T08:00:11+0000,article,Styles,Style,News,"['PHILOSOPHY', 'ETHICS (PERSONAL)', 'CALLARD, AGNES (1976- )']"
10,"Small talk on the M15, an autograph at Yankee Stadium and more reader tales of New York City in this week’s Metropolitan Diary.",2023-01-01T08:00:12+0000,article,Metropolitan,New York,News,['NEW YORK CITY']
11,No one knows how many are helped or how much Veterans Treatment Courts in New York cost. Supporters say it gives defendants who were in the armed forces a second chance.,2023-01-01T08:00:16+0000,article,Metro,New York,News,"['VETERANS', 'DISTRICT ATTORNEYS', 'COURTS AND THE JUDICIARY', 'DEPARTMENT OF VETERANS SERVICES (NYC)', 'BRAGG, ALVIN', 'MERCHAN, JUAN M', 'MANHATTAN (NYC)', 'DRUG ABUSE AND TRAFFIC', 'MENTAL HEALTH AND DISORDERS', 'UNITED STATES DEFENSE AND MILITARY FORCES']"
12,"In his first year as mayor, he focused his attention on fighting crime. But critics say he is not moving quickly enough to address New York City’s other urgent challenges.",2023-01-01T08:00:17+0000,article,Metropolitan,New York,News,"['ADAMS, ERIC L', 'CONTENT TYPE: PERSONAL PROFILE', 'MAYORS', 'POLITICS AND GOVERNMENT', 'CRIME AND CRIMINALS', 'AFFORDABLE HOUSING', 'DEMOCRATIC PARTY', 'NEW YORK CITY']"
13,Some of the highest-profile complaints show how America’s culture wars are affecting the nation’s children.,2023-01-01T08:00:18+0000,article,Washington,U.S.,News,"['DISCRIMINATION', 'DISABILITIES', 'MINORITIES', 'RACE AND ETHNICITY', 'HOMOSEXUALITY AND BISEXUALITY', 'TRANSGENDER AND TRANSSEXUALS', 'CIVIL RIGHTS AND LIBERTIES', 'SCHOOL DISCIPLINE (STUDENTS)', 'EDUCATION (K-12)', 'EDUCATION DEPARTMENT (US)', 'UNITED STATES POLITICS AND GOVERNMENT', 'NATIONAL ASSN FOR THE ADVANCEMENT OF COLORED PEOPLE', 'ARIZONA', 'COLORADO', 'PENNSYLVANIA', 'LHAMON, CATHERINE E', 'UNITED STATES', 'SOUTHLAKE (TEX)', 'DOYLESTOWN (PA)', 'BUCKS COUNTY (PA)']"
14,"As American companies seek to limit their exposure to the pitfalls of making goods in China, some are moving production to Mexico.",2023-01-01T08:00:28+0000,article,Business,Business Day,News,"['OUTSOURCING', 'INTERNATIONAL TRADE AND WORLD MARKET', 'FACTORIES AND MANUFACTURING', 'CORONAVIRUS (2019-NCOV)', 'SUPPLY CHAIN', 'UNITED STATES ECONOMY', 'CHINA', 'MEXICO', 'MEXICO CITY (MEXICO)', 'UNITED STATES', 'UNIFORMS', 'WALMART STORES INC']"
15,"The police say a 19-year-old man struck two officers before the police opened fire, hitting him in the shoulder.",2023-01-01T08:03:37+0000,article,Express,New York,News,"['ATTACKS ON POLICE', 'TIMES SQUARE AND 42ND STREET (MANHATTAN, NY)', 'NEW YEAR', 'ASSAULTS']"
16,Kim Jong-un told a Workers’ Party meeting that his country must mass-produce nuclear missiles that could hit South Korea.,2023-01-01T08:13:40+0000,article,Foreign,World,News,"['NORTH KOREA', 'SOUTH KOREA', 'NUCLEAR WEAPONS', 'MISSILES AND MISSILE DEFENSE SYSTEMS', 'KIM JONG-UN', 'YOON SUK-YEOL', 'INTERNATIONAL RELATIONS']"
17,Some games are much more important than others.,2023-01-01T10:00:01+0000,multimedia,The Upshot,The Upshot,Interactive Feature,"['FOOTBALL', 'PLAYOFF GAMES', 'NATIONAL FOOTBALL LEAGUE']"
18,"V.V. Ganeshananthan’s novel “Brotherless Night” reveals the moral nuances of violence, ever belied by black-and-white terminology.",2023-01-01T10:00:06+0000,article,BookReview,Books,Review,"['BOOKS AND LITERATURE', 'GANESHANANTHAN, V V']"
19,"Facing high interest rates and home prices, some buyers have only a small down payment to offer. But they still have plenty of options.",2023-01-01T10:00:08+0000,article,Business,Your Money,News,"['MORTGAGES', 'PERSONAL FINANCES', 'REAL ESTATE AND HOUSING (RESIDENTIAL)', 'INTEREST RATES', 'FEDERAL HOME LOAN MORTGAGE CORP (FREDDIE MAC)', 'FEDERAL HOUSING ADMINISTRATION', 'FEDERAL NATIONAL MORTGAGE ASSN (FANNIE MAE)', 'CREDIT AND DEBT']"
20,Continental Drift is one of Henry Segerman’s latest efforts to make mathematics “real.”,2023-01-01T10:00:15+0000,article,Science,Science,News,"['SEGERMAN, HENRY', 'PUZZLES', 'MATHEMATICS', 'INVENTIONS AND PATENTS', 'CONTENT TYPE: PERSONAL PROFILE', 'YOUR-FEED-SCIENCE']"
